CGPA,Aptitude,Programming,Maths,Communication,Logical_Reasoning,DSA,Web_Dev,AI_ML,Cyber_Security,Projects,Internships,Certifications,Interest_AI,Interest_Web,Interest_Data,Interest_Security,Career_Label
8.5,80,85,78,75,82,88,40,90,35,4,2,3,1,0,1,0,0
7.8,75,80,72,70,76,85,35,88,30,3,1,2,1,0,1,0,0
8.0,78,82,75,72,80,84,45,86,40,3,1,2,1,0,1,0,2
7.5,72,75,70,68,74,78,40,80,35,2,1,1,1,0,1,0,2
7.2,65,78,60,75,70,72,88,35,30,3,1,2,0,1,0,0,4
7.0,60,74,58,78,68,70,90,30,28,2,1,1,0,1,0,0,4
8.1,76,88,74,70,79,90,55,45,40,4,2,2,0,0,0,0,3
7.9,74,85,72,68,77,87,50,40,35,3,1,2,0,0,0,0,3
8.3,78,76,70,72,80,74,35,30,90,3,2,2,0,0,0,1,1
8.0,75,74,68,70,78,72,30,28,88,2,1,1,0,0,0,1,1
8.7,82,87,80,78,84,89,42,92,38,5,2,4,1,0,1,0,0
7.6,70,77,69,74,73,75,85,38,32,3,1,1,0,1,0,0,4
8.2,79,83,77,73,81,86,43,84,37,4,2,3,1,0,1,0,2
8.4,77,86,75,71,80,88,52,46,42,4,2,2,0,0,0,0,3
8.1,76,75,71,72,79,73,34,32,91,3,2,2,0,0,0,1,1
